"codigo_veiculo","fipe","codigo_fipe","valor_fipe","valor_revenda","chassi","placa","ano_fabricacao","ano_modelo","updated_at"
"14814",Polo Sense TSI 1.0 Flex 12V Aut,"005513-1",91115.00,80181.20,"9BWAH5BZ4TT616895",TSA1D90,2026,2025,2026-07-16 15:11:36.447 -0400
"12572",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",129831.00,114251.28,"9BWCH6CH0TP001984",TSA1F20,2026,2025,2026-07-16 15:11:36.447 -0400
"12574",Nivus Comfortline 1.0 200 TSI Flex Aut.,"005525-5",121682.00,107080.16,"9BWCH6CH3TP005706",TSA1H70,2026,2025,2026-07-16 15:11:36.447 -0400
"12609",VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,"005484-4",119576.00,105226.88,"9BWDH6BZ3T4001431",TSA1I50,2026,2025,2026-07-16 15:11:36.447 -0400
"12983",VIRTUS TSI 1.0 Flex 12V 4p Aut.,"005543-3",102482.00,90184.16,"9BWDH6BZXT4002916",TSA2A20,2026,2025,2026-07-16 15:11:36.447 -0400
"10058",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083925",TSA3H64,2025,2025,2026-07-16 15:11:36.447 -0400
"10059",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083777",TSA3H74,2025,2025,2026-07-16 15:11:36.447 -0400
"10060",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083794",TSA3H84,2025,2025,2026-07-16 15:11:36.447 -0400
"10061",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083813",TSA3H94,2025,2025,2026-07-16 15:11:36.447 -0400
"10062",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083830",TSA3I04,2025,2025,2026-07-16 15:11:36.447 -0400
"10063",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083889",TSA3I14,2025,2025,2026-07-16 15:11:36.447 -0400
"10064",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083942",TSA3I44,2025,2025,2026-07-16 15:11:36.447 -0400
"10065",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST083956",TSA3I84,2025,2025,2026-07-16 15:11:36.447 -0400
"10066",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST084007",TSA3J04,2025,2025,2026-07-16 15:11:36.447 -0400
"10067",Polo Track 1.0 Flex 12V 5p,"005540-9",75779.00,66685.52,"9BWAG5R13ST084038",TSA3J14,2025,2025,2026-07-16 15:11:36.447 -0400
"26689",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R13TP038154",TSA5D80,2026,2026,2026-07-16 15:11:36.447 -0400
"26688",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R1XTP038300",TSA5D90,2026,2026,2026-07-16 15:11:36.447 -0400
"10385",VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,"005484-4",119576.00,105226.88,"9BWDH6BZ1TP001006",TSA6C75,2026,2025,2026-07-16 15:11:36.447 -0400
"9224",Saveiro Robust 1.6 Total Flex 16V ,"005538-7",83159.00,73179.92,"9BWKL45U5SP065638",TSA7C43,2025,2025,2026-07-16 15:11:36.447 -0400
"9241",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",84677.00,74515.76,"9BWJL45U5SP065697",TSA7C53,2025,2025,2026-07-16 15:11:36.447 -0400
"9098",TAOS Comfortline 1.4 250 TSI Flex Aut.,"005527-1",141613.00,124619.44,"9BWBH6BF8S4080686",TSB0E23,2025,2024,2026-07-16 15:11:36.447 -0400
"9273",Polo Sense TSI 1.0 Flex 12V Aut,"005513-1",91115.00,80181.20,"9BWAH5BZ0ST663789",TSC1C73,2025,2025,2026-07-16 15:11:36.447 -0400
"9274",Polo Sense TSI 1.0 Flex 12V Aut,"005513-1",91115.00,80181.20,"9BWAH5BZ2ST663888",TSC1C83,2025,2025,2026-07-16 15:11:36.447 -0400
"13588",VIRTUS TSI 1.0 Flex 12V 4p Aut.,"005543-3",102482.00,90184.16,"9BWDH6BZ5T4004055",TSC1D20,2026,2025,2026-07-16 15:11:36.447 -0400
"45948",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF6TT416696",TSC4C50,2026,2026,2026-07-16 15:11:36.447 -0400
"46100",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R1XTP049197",TSC4E20,2026,2026,2026-07-16 15:11:36.447 -0400
"46102",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R14TP049681",TSC7H50,2026,2026,2026-07-16 15:11:36.447 -0400
"46098",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R12TP049307",TSC7H60,2026,2026,2026-07-16 15:11:36.447 -0400
"16063",VIRTUS TSI 1.0 Flex 12V 4p Aut.,"005543-3",102482.00,90184.16,"9BWDH6BZ9T4006181",TSD0B30,2026,2025,2026-07-16 15:11:36.447 -0400
"15798",VIRTUS TSI 1.0 Flex 12V 4p Aut.,"005543-3",102482.00,90184.16,"9BWDH6BZ4T4005990",TSD0B40,2026,2025,2026-07-16 15:11:36.447 -0400
"16560",TAOS Comfortline 1.4 250 TSI Flex Aut.,"005527-1",155911.00,137201.68,"8AWBJ6B20SA810483",TSF7B48,2025,2025,2026-07-16 15:11:36.447 -0400
"20014",MONTANA LTZ 1.2 Turbo Flex 12V 4p Aut.,"004541-1",118182.00,104000.16,"9BGEN43T0TB145753",TSG8A56,2026,2025,2026-07-16 15:11:36.447 -0400
"27701",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R17TP042756",TSH1A70,2026,2026,2026-07-16 15:11:36.447 -0400
"27464",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R14TP042813",TSH1A90,2026,2026,2026-07-16 15:11:36.447 -0400
"27466",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R1XTP042881",TSH1B10,2026,2026,2026-07-16 15:11:36.447 -0400
"27702",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R16TP042747",TSH1B60,2026,2026,2026-07-16 15:11:36.447 -0400
"27467",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R11TT032621",TSH1C10,2026,2026,2026-07-16 15:11:36.447 -0400
"27455",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R13TT032491",TSH1C30,2026,2026,2026-07-16 15:11:36.447 -0400
"30780",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF8TT409281",TSH1E70,2026,2026,2026-07-16 15:11:36.447 -0400
"20150",VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,"005484-4",119576.00,105226.88,"9BWDH6BZ6T4013959",TSH1F86,2026,2025,2026-07-16 15:11:36.447 -0400
"27457",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R12TP042213",TSH4E50,2026,2026,2026-07-16 15:11:36.447 -0400
"27699",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R15TP042478",TSH7H60,2026,2026,2026-07-16 15:11:36.447 -0400
"27704",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R19TP042323",TSH7J30,2026,2026,2026-07-16 15:11:36.447 -0400
"30778",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF8TT409734",TSH8A70,2026,2026,2026-07-16 15:11:36.447 -0400
"45705",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF3TT409978",TSH8B50,2026,2026,2026-07-16 15:11:36.447 -0400
"49078",Tera Comfort 1.0 170 TSI Flex 12V 5p Aut,"005555-7",118000.00,103840.00,"9BWBH6DF9TT397722",TSI7B80,2026,2026,2026-07-16 15:11:36.447 -0400
"49885",TAOS Highline 1.4 250 TSI Flex Aut.,"005528-0",177899.00,156551.12,"8AWBJ6B29SA809798",TSI9A37,2025,2025,2026-07-16 15:11:36.447 -0400
"13589",Polo Sense TSI 1.0 Flex 12V Aut,"005513-1",91115.00,80181.20,"9BWAH5BZ8TT615555",TSK2A20,2026,2025,2026-07-16 15:11:36.447 -0400
"30775",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF7TT409708",TSM0C20,2026,2026,2026-07-16 15:11:36.447 -0400
"30779",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF8TT409720",TSM0C30,2026,2026,2026-07-16 15:11:36.447 -0400
"30777",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF3TT409494",TSM0C40,2026,2026,2026-07-16 15:11:36.447 -0400
"46101",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R11TP049413",TSM0D10,2026,2026,2026-07-16 15:11:36.447 -0400
"30776",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF8TT409846",TSM4C20,2026,2026,2026-07-16 15:11:36.447 -0400
"45950",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF6TT416004",TSM4C90,2026,2026,2026-07-16 15:11:36.447 -0400
"46099",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R15TP049351",TSM4D30,2026,2026,2026-07-16 15:11:36.447 -0400
"45949",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF7TT416674",TSM7G10,2026,2026,2026-07-16 15:11:36.447 -0400
"26686",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R12TP038324",TSO3C70,2026,2026,2026-07-16 15:11:36.447 -0400
"26963",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R19TP040443",TSO3C80,2026,2026,2026-07-16 15:11:36.447 -0400
"27461",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R15TP042125",TSO3E20,2026,2026,2026-07-16 15:11:36.447 -0400
"27460",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R10TP042324",TSO3E90,2026,2026,2026-07-16 15:11:36.447 -0400
"27463",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R13TP042849",TSO3G20,2026,2026,2026-07-16 15:11:36.447 -0400
"27931",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",93255.00,82064.40,"9BWJL45U6TP074510",TSO3J20,2026,2026,2026-07-16 15:11:36.447 -0400
"27703",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R10TP042730",TSO3J30,2026,2026,2026-07-16 15:11:36.447 -0400
"27465",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R1XTT032889",TSO6J60,2026,2026,2026-07-16 15:11:36.447 -0400
"27705",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R17TT033028",TSO7B40,2026,2026,2026-07-16 15:11:36.447 -0400
"27700",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R1XTT033086",TSO7B50,2026,2026,2026-07-16 15:11:36.447 -0400
"50257",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",137884.00,121337.92,"9BWCH6CH2VP007160",UTP9D66,1927,2026,2026-07-16 15:11:36.447 -0400
"50218",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",137884.00,121337.92,"9BWCH6CH9VP000772",UTP9E76,1927,2026,2026-07-16 15:11:36.447 -0400
"50217",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",137884.00,121337.92,"9BWCH6CH1VP006520",UTP9F66,1927,2026,2026-07-16 15:11:36.447 -0400
"50215",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",137884.00,121337.92,"9BWCH6CH6VP000180",UTP9G06,1927,2026,2026-07-16 15:11:36.447 -0400
"50216",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",137884.00,121337.92,"9BWCH6CH2VP003528",UTP9G76,1927,2026,2026-07-16 15:11:36.447 -0400
"48360",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF7TT431255",UTT8H10,2026,2026,2026-07-16 15:11:36.447 -0400
"49967",Tera High 1.0 170 TSI Flex 12V 5p Aut,"005556-5",132487.00,116588.56,"9BWBH6DF7TT437909",UTT8H80,2026,2026,2026-07-16 15:11:36.447 -0400
"48144",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R13TP055939",UUB4E80,2026,2026,2026-07-16 15:11:36.447 -0400
"48352",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF1TT429131",UUB4F30,2026,2026,2026-07-16 15:11:36.447 -0400
"48142",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R11TT040850",UUB4F90,2026,2026,2026-07-16 15:11:36.447 -0400
"48353",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF4TT429012",UUB4G10,2026,2026,2026-07-16 15:11:36.447 -0400
"48018",Saveiro Extreme 1.6 Flex 16V CD,"005546-8",115355.00,101512.40,"9BWJL45U4TP082122",UUC9B30,2026,2026,2026-07-16 15:11:36.447 -0400
"48348",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF7TT431286",UUC9C20,2026,2026,2026-07-16 15:11:36.447 -0400
"48042",TAOS Highline 1.4 250 TSI Flex Aut.,"005528-0",196173.00,172632.24,"3VVJM6B29TM062994",UUC9C90,2026,2026,2026-07-16 15:11:36.447 -0400
"49932",Tera Comfort 1.0 170 TSI Flex 12V 5p Aut,"005555-7",118000.00,103840.00,"9BWBH6DF3TT404051",UUD3A20,2026,2026,2026-07-16 15:11:36.447 -0400
"49931",Tera Comfort 1.0 170 TSI Flex 12V 5p Aut,"005555-7",118000.00,103840.00,"9BWBH6DF3TT398459",UUD3A30,2026,2026,2026-07-16 15:11:36.447 -0400
"48705",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",137884.00,121337.92,"9BWCH6CH0VP011935",UUD4H30,1927,2026,2026-07-16 15:11:36.447 -0400
"5970",TAOS Comfortline 1.4 250 TSI Flex Aut.,"005527-1",141613.00,124619.44,"8AWBJ6B2XRA821176",QZY3B20,2024,2024,2026-07-16 15:11:36.447 -0400
"7137",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R11ST060174",TAA0B41,2025,2024,2026-07-16 15:11:36.447 -0400
"7764",TAOS Highline 1.4 250 TSI Flex Aut.,"005528-0",159570.00,140421.60,"8AWBJ6B2XRA829570",TAA0B71,2024,2024,2026-07-16 15:11:36.447 -0400
"5954",Nivus Comfortline 1.0 200 TSI Flex Aut.,"005525-5",105439.00,92786.32,"9BWCH6CH6RP073135",TAA1D48,2024,2024,2026-07-16 15:11:36.447 -0400
"5949",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",116893.00,102865.84,"9BWCH6CH9RP061867",TAA1E18,2024,2024,2026-07-16 15:11:36.447 -0400
"5953",Nivus Highline 1.0 200 TSI Flex Aut.,"005526-3",116893.00,102865.84,"9BWCH6CH1RP073169",TAA1E98,2024,2024,2026-07-16 15:11:36.447 -0400
"6758",TAOS Comfortline 1.4 250 TSI Flex Aut.,"005527-1",141613.00,124619.44,"8AWBJ6B22RA829319",TAB1H82,2024,2024,2026-07-16 15:11:36.447 -0400
"5962",Saveiro Robust 1.6 Total Flex 16V ,"005538-7",74947.00,65953.36,"9BWKL45U3SP017894",TAB5C59,2025,2024,2026-07-16 15:11:36.447 -0400
"5959",Saveiro Robust 1.6 Total Flex 16V ,"005538-7",74947.00,65953.36,"9BWKL45U0SP016847",TAB5C99,2025,2024,2026-07-16 15:11:36.447 -0400
"6141",Polo Comfortline TSI 1.0 Flex 12V Aut.,"005535-2",89158.00,78459.04,"9BWAH5BZ3ST634805",TAB9D43,2025,2024,2026-07-16 15:11:36.447 -0400
"5951",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R16ST018244",TAC1B58,2025,2024,2026-07-16 15:11:36.447 -0400
"5958",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R12ST019911",TAC1C68,2025,2024,2026-07-16 15:11:36.447 -0400
"5975",Polo Comfortline TSI 1.0 Flex 12V Aut.,"005535-2",89158.00,78459.04,"9BWAH5BZ8ST627879",TAC1J10,2025,2024,2026-07-16 15:11:36.447 -0400
"5976",T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,"005510-7",106812.00,93994.56,"9BWBH6BF6S4033558",TAC2B60,2025,2024,2026-07-16 15:11:36.447 -0400
"6142",VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,"005484-4",110402.00,97153.76,"9BWDH6BZ1SP018225",TAC8I23,2025,2024,2026-07-16 15:11:36.447 -0400
"6144",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",76175.00,67034.00,"9BWJL45U7SP036458",TAD1F43,2025,2024,2026-07-16 15:11:36.447 -0400
"6402",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R13ST046325",TAD1G33,2025,2024,2026-07-16 15:11:36.447 -0400
"6404",Polo Track 1.0 Flex 12V 5p,"005540-9",69770.00,61397.60,"9BWAG5R12ST046509",TAD1G53,2025,2024,2026-07-16 15:11:36.447 -0400
"8750",T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,"005510-7",119193.00,104889.84,"9BWBH6BF6S4075342",TAE9G42,2025,2025,2026-07-16 15:11:36.447 -0400
"8749",T-Cross 200 TSI 1.0  Flex 12V 5p Aut.,"005510-7",119193.00,104889.84,"9BWBH6BF8S4070918",TAE9G72,2025,2025,2026-07-16 15:11:36.447 -0400
"48140",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R11TP056328",UUD4H70,2026,2026,2026-07-16 15:11:36.447 -0400
"48351",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF5TT430959",UUD4I20,2026,2026,2026-07-16 15:11:36.447 -0400
"48146",Tera High 1.0 170 TSI Flex 12V 5p Aut,"005556-5",132487.00,116588.56,"9BWBH6DFXTT427441",UUE3E60,2026,2026,2026-07-16 15:11:36.447 -0400
"48143",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R14TP056162",UUE3E70,2026,2026,2026-07-16 15:11:36.447 -0400
"48145",VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,"005484-4",129406.00,113877.28,"9BWDH6BZXT4032773",UUE3E80,2026,2026,2026-07-16 15:11:36.447 -0400
"48141",Polo Track 1.0 Flex 12V 5p,"005540-9",81778.00,71964.64,"9BWAG5R18TP056164",UUE3G10,2026,2026,2026-07-16 15:11:36.447 -0400
"48359",Tera 1.0 MPI Flex 12V 5p Mec.,"005557-3",96322.00,84763.36,"9BWBG6DF0TT429525",UUE3G20,2026,2026,2026-07-16 15:11:36.447 -0400
"50090",Dolphin Mini (Elétrico),"095010-6",111036.00,97711.68,"92VCE4CC6VK050502",ZZZ0066,1927,2026,2026-07-16 15:11:36.447 -0400
"50546",Saveiro Robust 1.6 Total Flex 16V CD,"005537-9",93255.00,82064.40,"9BWJL45U2VP010760",ZZZ0086,1927,2026,2026-07-16 15:11:36.447 -0400
