"placa","fornecedor","hodometro_km","placa_fonte","latitude","longitude","ignicao","event_date","update_date","chassi","codigo_fonte","dados_fonte","sincronizado_em","updated_at"
TAF6B82,Vai,33820.0,TAF6B82,,,,2026-07-16 22:44:28.000 -0400,,"9BWJL45U6SP057303","210901745","{""plate"": ""TAF6B82"", ""chassis"": ""9BWJL45U6SP057303"", ""codigoVai"": ""210901745"", ""ecuChassis"": ""9BWJL45U6SP057303"", ""lastReview"": ""2026-06-14"", ""reviewStatus"": 0, ""currentMileage"": 31905.261000000013, ""initialMileage"": 7481, ""lastConnection"": ""2026-07-17T02:44:28.000236+00:00"", ""dailyMileageAvg"": 65.82442748091603, ""mileageOnReview"": 29299.956000000017, ""odometerMileage"": 33820.0, ""reviewDateEstimated"": ""2026-11-06""}",2026-07-10 16:53:42.801 -0400,2026-07-16 23:23:11.631 -0400
TAF7D74,Vai,28562.0,TAF7D74,,,,2026-07-16 22:53:06.447 -0400,,"9BWAG5R12RT053499","210300656","{""plate"": ""TAF7D74"", ""chassis"": ""9BWAG5R12RT053499"", ""codigoVai"": ""210300656"", ""ecuChassis"": ""9BWAG5R12RT053499"", ""lastReview"": ""2026-03-11"", ""reviewStatus"": 3, ""currentMileage"": 28589.806000000004, ""initialMileage"": 1951, ""lastConnection"": ""2026-07-17T02:53:06.447341+00:00"", ""dailyMileageAvg"": 50.92743764172336, ""mileageOnReview"": 18660.728000000003, ""odometerMileage"": 28562.0, ""reviewDateEstimated"": ""2026-07-18""}",2026-07-10 16:53:42.511 -0400,2026-07-16 23:23:11.632 -0400
TAF9D92,Vai,13722.0,TAF9D92,,,,2026-07-16 22:08:12.718 -0400,,"9BWAH5BZ0ST654655","240300100","{""plate"": ""TAF9D92"", ""chassis"": ""9BWAH5BZ0ST654655"", ""codigoVai"": ""240300100"", ""ecuChassis"": ""9BWAH5BZ0ST654655"", ""lastReview"": ""2026-03-08"", ""reviewStatus"": 0, ""currentMileage"": 13239.733999999997, ""initialMileage"": 6, ""lastConnection"": ""2026-07-17T02:08:12.718317+00:00"", ""dailyMileageAvg"": 32.76086956521739, ""mileageOnReview"": 10143.938, ""odometerMileage"": 13722.0, ""reviewDateEstimated"": ""2027-02-12""}",2026-07-10 16:53:42.685 -0400,2026-07-16 23:23:11.633 -0400
TAG2F40,Vai,30010.0,TAG2F40,,,,2026-07-16 22:55:09.002 -0400,,"9BWJL45U1SP029277","250101671","{""plate"": ""TAG2F40"", ""chassis"": ""9BWJL45U1SP029277"", ""codigoVai"": ""250101671"", ""ecuChassis"": ""9BWJL45U1SP029277"", ""lastReview"": ""2026-04-21"", ""reviewStatus"": 0, ""currentMileage"": 31392.867, ""initialMileage"": 7294, ""lastConnection"": ""2026-07-17T02:55:09.002884+00:00"", ""dailyMileageAvg"": 102.06122448979592, ""mileageOnReview"": 29997.0, ""odometerMileage"": 30010.0, ""reviewDateEstimated"": ""2026-10-09""}",2026-07-10 16:53:42.991 -0400,2026-07-16 23:23:11.633 -0400
TRY6C33,RastroSiga,30200.0,TRY-6C33,-3.0707549999999997,-60.00508444444445,false,2026-07-16 22:48:05.000 -0400,2026-07-16 22:48:08.253 -0400,"9BWCH6CH2SP017750","2443","{""Plate"": ""TRY-6C33"", ""Driver"": null, ""Address"": ""Rua Alexandre Magno, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.0707549999999997, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T02:48:05Z"", ""Longitude"": -60.00508444444445, ""IdPosition"": 279414784, ""UpdateDate"": ""2026-07-17T02:48:08.253Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TRY-6C33"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2443, ""ListTelemetry"": {""2"": 15.0, ""6"": 0.0, ""7"": 12.3, ""8"": 80.0, ""15"": 30200.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:13:32.417 -0400,2026-07-16 23:23:11.666 -0400
TRY9I85,Vai,24632.0,TRY9I85,,,,2026-07-12 04:28:23.765 -0400,,"9BWAG5R16ST084101","210902596","{""plate"": ""TRY9I85"", ""chassis"": ""9BWAG5R16ST084101"", ""codigoVai"": ""210902596"", ""ecuChassis"": ""9BWAG5R16ST084101"", ""lastReview"": ""2026-03-30"", ""reviewStatus"": 0, ""currentMileage"": 25756.535999999996, ""initialMileage"": 23572, ""lastConnection"": ""2026-07-12T08:28:23.765778+00:00"", ""dailyMileageAvg"": 114.21030042918456, ""mileageOnReview"": 30761.969000000012, ""odometerMileage"": 24632.0, ""reviewDateEstimated"": ""2026-11-25""}",2026-07-10 16:53:42.886 -0400,2026-07-16 23:23:11.675 -0400
TAA0B41,RastroSiga,19206.0,TAA-0B41,-3.0708699999999998,-60.00516888888889,false,2026-07-16 22:47:39.000 -0400,2026-07-16 22:47:41.813 -0400,"9BWAG5R11ST060174","2411","{""Plate"": ""TAA-0B41"", ""Driver"": null, ""Address"": ""Avenida Tancredo Neves, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.0708699999999998, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T02:47:39Z"", ""Longitude"": -60.00516888888889, ""IdPosition"": 279414635, ""UpdateDate"": ""2026-07-17T02:47:41.813Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TAA-0B41"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2411, ""ListTelemetry"": {""2"": 15.0, ""6"": 0.0, ""7"": 12.7, ""8"": 80.0, ""15"": 19206.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:02:27.522 -0400,2026-07-16 23:23:11.607 -0400
TRZ3J30,RastroSiga,562.0,TRZ-3J30,-3.0686000000000004,-60.01227111111111,false,2026-07-16 22:49:02.000 -0400,2026-07-16 22:49:04.758 -0400,"9BWBH6DF7TT398349","2404","{""Plate"": ""TRZ-3J30"", ""Driver"": null, ""Address"": ""Flores, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.0686000000000004, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T02:49:02Z"", ""Longitude"": -60.01227111111111, ""IdPosition"": 279415085, ""UpdateDate"": ""2026-07-17T02:49:04.758Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TRZ-3J30"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2404, ""ListTelemetry"": {""2"": 14.0, ""6"": 0.0, ""7"": 12.6, ""8"": 80.0, ""15"": 562.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:19:35.058 -0400,2026-07-16 23:23:11.680 -0400
TSA3H84,RastroSiga,24502.0,TSA-3H84,-3.070815,-60.00510222222223,false,2026-07-16 22:46:52.000 -0400,2026-07-16 22:46:55.647 -0400,"9BWAG5R13ST083794","2428","{""Plate"": ""TSA-3H84"", ""Driver"": null, ""Address"": ""Rua Alexandre Magno, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.070815, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T02:46:52Z"", ""Longitude"": -60.00510222222223, ""IdPosition"": 279414341, ""UpdateDate"": ""2026-07-17T02:46:55.647Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TSA-3H84"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2428, ""ListTelemetry"": {""2"": 15.0, ""6"": 0.0, ""7"": 12.6, ""8"": 80.0, ""15"": 24502.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:23:35.963 -0400,2026-07-16 23:23:11.690 -0400
TSI7B80,RastroSiga,3622.0,TSI7B80,-3.056721666666667,-60.03868444444445,false,2026-07-16 23:20:52.000 -0400,2026-07-16 23:20:54.793 -0400,"9BWBH6DF9TT397722","2403","{""Plate"": ""TSI7B80"", ""Driver"": null, ""Address"": ""Rua Mirasselva, Redenção, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.056721666666667, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T03:20:52Z"", ""Longitude"": -60.03868444444445, ""IdPosition"": 279424646, ""UpdateDate"": ""2026-07-17T03:20:54.793Z"", ""ListTrailer"": null, ""TrackedUnit"": ""Tera Comfort 1.0 170 Tsi"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2403, ""ListTelemetry"": {""2"": 15.0, ""6"": 294.0, ""7"": 12.8, ""8"": 80.0, ""15"": 3622.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:32:41.086 -0400,2026-07-16 23:23:11.730 -0400
TSM0C40,RastroSiga,3742.0,TSM-0C40,-3.0312449999999997,-59.94772,false,2026-07-16 18:21:56.000 -0400,2026-07-16 18:21:57.586 -0400,"9BWBG6DF3TT409494","2444","{""Plate"": ""TSM-0C40"", ""Driver"": null, ""Address"": ""Rua Tacila Mendes, Cidade de Deus, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.0312449999999997, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-16T22:21:56Z"", ""Longitude"": -59.94772, ""IdPosition"": 279304922, ""UpdateDate"": ""2026-07-16T22:21:57.586Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TSM-0C40"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2444, ""ListTelemetry"": {""2"": 10.0, ""6"": 183.0, ""8"": 100.0, ""15"": 3742.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:35:43.582 -0400,2026-07-16 23:23:11.736 -0400
TSM6I80,RastroSiga,8516.0,TSM-6I80,-3.1151283333333333,-59.969302222222225,true,2026-07-16 23:22:46.000 -0400,2026-07-16 23:22:47.072 -0400,"9BWAG5R19TP038403","2471","{""Plate"": ""TSM-6I80"", ""Driver"": null, ""Address"": ""Avenida Buriti, Distrito Industrial I, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": true, ""Latitude"": -3.1151283333333333, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T03:22:46Z"", ""Longitude"": -59.969302222222225, ""IdPosition"": 279425153, ""UpdateDate"": ""2026-07-17T03:22:47.072Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TSM-6I80"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2471, ""ListTelemetry"": {""2"": 14.0, ""6"": 149.0, ""8"": 100.0, ""15"": 8516.0, ""17"": 22.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": true}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 16:53:43.102 -0400,2026-07-16 23:23:11.773 -0400
TAG4F03,Vai,28214.0,TAG4F03,,,,2026-07-16 22:03:17.621 -0400,,"9BD281BKHSYG32724","240300030","{""plate"": ""TAG4F03"", ""chassis"": ""9BD281BKHSYG32724"", ""codigoVai"": ""240300030"", ""ecuChassis"": ""9BD281BKHSYG32724"", ""lastReview"": ""2026-04-09"", ""reviewStatus"": 1, ""currentMileage"": 27968.487999999998, ""initialMileage"": 988, ""lastConnection"": ""2026-07-17T02:03:17.621023+00:00"", ""dailyMileageAvg"": 110.34517766497461, ""mileageOnReview"": 19274.513000000035, ""odometerMileage"": 28214.0, ""reviewDateEstimated"": ""2026-07-28""}",2026-07-10 16:53:42.645 -0400,2026-07-16 23:23:11.635 -0400
TAG4F23,Vai,15423.0,TAG4F23,,,,2026-07-16 22:19:55.249 -0400,,"9BD281BKHSYG32732","240300140","{""plate"": ""TAG4F23"", ""chassis"": ""9BD281BKHSYG32732"", ""codigoVai"": ""240300140"", ""ecuChassis"": ""9BD281BKHSYG32732"", ""lastReview"": ""2026-01-18"", ""reviewStatus"": 1, ""currentMileage"": 15309.022, ""initialMileage"": 1107, ""lastConnection"": ""2026-07-17T02:19:55.249394+00:00"", ""dailyMileageAvg"": 79.92105263157895, ""mileageOnReview"": 7422.287999999999, ""odometerMileage"": 15423.0, ""reviewDateEstimated"": ""2026-08-12""}",2026-07-10 16:53:42.662 -0400,2026-07-16 23:23:11.637 -0400
TAG7I13,RastroSiga,9805.0,TAG-7I13,-3.0645883333333335,-59.97953777777778,false,2026-07-16 22:49:19.000 -0400,2026-07-16 22:49:22.687 -0400,"9BWCH6CH4RP090659","2429","{""Plate"": ""TAG-7I13"", ""Driver"": null, ""Address"": ""Novo Aleixo, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.0645883333333335, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T02:49:19Z"", ""Longitude"": -59.97953777777778, ""IdPosition"": 279415188, ""UpdateDate"": ""2026-07-17T02:49:22.687Z"", ""ListTrailer"": null, ""TrackedUnit"": ""TAG-7I13"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2429, ""ListTelemetry"": {""2"": 15.0, ""6"": 0.0, ""7"": 12.6, ""8"": 80.0, ""15"": 9805.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:12:32.191 -0400,2026-07-16 23:23:11.638 -0400
UUC9B30,RastroSiga,701100.0,UUC-9B30,-3.017795,-60.022684444444444,false,2026-07-16 22:40:39.000 -0400,2026-07-16 22:40:41.692 -0400,"9BWJL45U4TP082122","2433","{""Plate"": ""UUC-9B30"", ""Driver"": null, ""Address"": ""Colonia Terra Nova, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.017795, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-17T02:40:39Z"", ""Longitude"": -60.022684444444444, ""IdPosition"": 279412341, ""UpdateDate"": ""2026-07-17T02:40:41.692Z"", ""ListTrailer"": null, ""TrackedUnit"": ""UUC-9B30"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2433, ""ListTelemetry"": {""2"": 15.0, ""6"": 126.0, ""7"": 13.2, ""8"": 80.0, ""15"": 701100.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {""33"": false}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-10 17:47:46.276 -0400,2026-07-16 23:23:11.811 -0400
UUD4I30,RastroSiga,13.0,UUD-4I30,-3.070745,-60.00507555555556,false,2026-07-16 15:58:56.000 -0400,2026-07-16 15:58:57.472 -0400,"9BWDH6BZ6T4038764","2500","{""Plate"": ""UUD-4I30"", ""Driver"": null, ""Address"": ""Rua Alexandre Magno, Parque Dez de Novembro, Manaus, AM, Brasil, 69000-000"", ""IdEvent"": 2, ""Ignition"": false, ""Latitude"": -3.070745, ""ValidGPS"": true, ""Available"": null, ""EventDate"": ""2026-07-16T19:58:56Z"", ""Longitude"": -60.00507555555556, ""IdPosition"": 279216636, ""UpdateDate"": ""2026-07-16T19:58:57.472Z"", ""ListTrailer"": null, ""TrackedUnit"": ""UUD-4I30"", ""TrackerSlot"": 1, ""IdTrackedUnit"": 2500, ""ListTelemetry"": {""2"": 11.0, ""6"": 40.0, ""8"": 100.0, ""15"": 13.0, ""17"": 0.0}, ""DocumentNumber"": null, ""ListInputSensor"": {""17"": false}, ""IdTrackedUnitType"": 1, ""ListOutputActuator"": {}, ""DriverIdentification"": null, ""IdMainBatteryMeasureUnit"": 1, ""DistanceFromGeographicArea"": null, ""IdBackupBatteryMeasureUnit"": 2, ""TrackedUnitIntegrationCode"": null, ""PersonIntegrationCodeCenter"": """", ""PersonIntegrationCodeClient"": null}",2026-07-15 23:23:16.913 -0400,2026-07-16 23:23:11.827 -0400
