"codigo_contrato","numero_contrato","codigo_cliente","codigo_veiculo","codigo_grupo_contrato","valor_tarifa","codigo_empresa","data_hora_inicio","data_hora_termino","codigo_status","inserido_em","modificado_em"
"186861","6","36506","12572","7689",3790.00,"167",2025-12-04 19:59:00.000 -0400,2026-01-04 19:59:00.000 -0400,"5",2025-11-28 09:35:04.000 -0400,2025-12-29 06:43:21.000 -0400
"338543","385","36317","27461","2214",1992.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:00:57.000 -0400,2026-04-30 08:01:10.960 -0400
"531902","392","36317","27461","2214",1992.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:01:10.000 -0400,2026-05-30 05:01:12.000 -0400
"579156","399","36317","27461","2214",1992.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:12.000 -0400,2026-06-30 06:55:55.000 -0400
"595533","406","36317","27461","2214",1992.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:55.000 -0400,2026-07-17 05:03:48.477 -0400
"293458","377","36317","26688","2214",1992.00,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-03-18 08:04:23.000 -0400,2026-03-30 05:00:56.000 -0400
"338542","384","36317","26688","2214",1992.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:00:56.000 -0400,2026-04-30 08:01:10.620 -0400
"531901","391","36317","26688","2214",1992.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:01:10.000 -0400,2026-05-30 08:01:10.650 -0400
"579152","395","36317","26688","2214",1992.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:10.000 -0400,2026-06-30 06:55:50.000 -0400
"595523","402","36317","26688","2214",1992.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:49.000 -0400,2026-07-17 05:03:56.677 -0400
"524743","386","36317","27934","2214",2152.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-04-14 11:56:31.000 -0400,2026-04-30 08:01:11.243 -0400
"531903","393","36317","27934","2214",2152.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:01:11.000 -0400,2026-05-30 08:01:12.597 -0400
"579157","400","36317","27934","2214",2152.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:12.000 -0400,2026-06-30 09:55:56.790 -0400
"595536","407","36317","27934","2214",2152.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:56.000 -0400,2026-07-17 05:04:24.777 -0400
"85147","282","36317","8828","2214",2232.00,"167",2025-01-31 20:00:00.000 -0400,2025-02-28 19:59:00.000 -0400,"5",2025-02-22 06:27:29.000 -0400,2025-02-28 11:51:33.780 -0400
"87023","289","36317","8828","2214",2232.00,"167",2025-02-28 20:00:00.000 -0400,2025-03-31 19:59:00.000 -0400,"5",2025-02-28 08:51:33.000 -0400,2025-03-29 10:49:30.770 -0400
"97644","296","36317","8828","2214",2232.00,"167",2025-03-31 20:00:00.000 -0400,2025-04-30 19:59:00.000 -0400,"5",2025-03-29 07:49:30.000 -0400,2025-04-30 13:50:45.003 -0400
"105836","303","36317","8828","2214",2232.00,"167",2025-04-30 20:00:00.000 -0400,2025-05-31 19:59:00.000 -0400,"5",2025-04-30 10:50:44.000 -0400,2025-05-29 10:40:10.323 -0400
"114387","310","36317","8828","2214",2232.00,"167",2025-05-31 20:00:00.000 -0400,2025-06-30 19:59:00.000 -0400,"5",2025-05-29 07:40:10.000 -0400,2025-06-27 13:18:53.560 -0400
"122151","316","36317","8828","2214",2232.00,"167",2025-06-30 20:00:00.000 -0400,2025-07-31 19:59:00.000 -0400,"5",2025-06-27 10:18:53.000 -0400,2025-07-28 11:23:15.770 -0400
"133173","323","36317","8828","2214",2232.00,"167",2025-07-31 20:00:00.000 -0400,2025-08-31 19:59:00.000 -0400,"5",2025-07-28 08:23:15.000 -0400,2025-08-27 17:39:31.430 -0400
"148995","330","36317","8828","2214",2232.00,"167",2025-08-31 20:00:00.000 -0400,2025-09-30 19:59:00.000 -0400,"5",2025-08-27 14:39:31.000 -0400,2025-09-29 09:24:05.257 -0400
"160438","337","36317","8828","2214",2232.00,"167",2025-09-30 20:00:00.000 -0400,2025-10-31 19:59:00.000 -0400,"5",2025-09-29 06:24:05.000 -0400,2025-10-28 11:27:50.463 -0400
"174515","344","36317","8828","2214",2232.00,"167",2025-10-31 20:00:00.000 -0400,2025-11-30 19:59:00.000 -0400,"5",2025-10-28 08:27:50.000 -0400,2025-11-28 12:05:46.927 -0400
"186839","351","36317","8828","2214",2232.00,"167",2025-11-30 20:00:00.000 -0400,2025-12-31 19:59:00.000 -0400,"5",2025-11-28 09:05:46.000 -0400,2025-12-26 05:29:07.000 -0400
"215611","358","36317","8828","2214",2232.00,"167",2025-12-31 20:00:00.000 -0400,2026-01-31 19:59:00.000 -0400,"5",2025-12-26 05:29:07.000 -0400,2026-01-26 09:44:40.420 -0400
"238047","365","36317","8828","2214",2232.00,"167",2026-01-31 20:00:00.000 -0400,2026-02-28 19:59:00.000 -0400,"5",2026-01-26 06:44:40.000 -0400,2026-02-27 10:55:02.717 -0400
"267911","372","36317","8828","2214",2232.00,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-02-27 07:55:02.000 -0400,2026-03-30 08:00:54.500 -0400
"338538","380","36317","8828","2214",2232.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:00:54.000 -0400,2026-04-30 08:01:09.427 -0400
"531897","387","36317","8828","2214",2232.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:01:09.000 -0400,2026-05-30 05:01:11.000 -0400
"579153","396","36317","8828","2214",2232.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:10.000 -0400,2026-06-30 06:55:51.000 -0400
"595525","403","36317","8828","2214",2232.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:51.000 -0400,2026-07-17 05:01:22.600 -0400
"85880","283","36317","8830","2214",2232.00,"167",2025-01-31 20:00:00.000 -0400,2025-02-28 19:59:00.000 -0400,"5",2025-02-25 12:22:04.000 -0400,2025-02-28 11:51:33.920 -0400
"87024","290","36317","8830","2214",2232.00,"167",2025-02-28 20:00:00.000 -0400,2025-03-31 19:59:00.000 -0400,"5",2025-02-28 08:51:33.000 -0400,2025-03-29 10:49:30.970 -0400
"97645","297","36317","8830","2214",2232.00,"167",2025-03-31 20:00:00.000 -0400,2025-04-30 19:59:00.000 -0400,"5",2025-03-29 07:49:30.000 -0400,2025-04-30 13:50:45.217 -0400
"105837","304","36317","8830","2214",2232.00,"167",2025-04-30 20:00:00.000 -0400,2025-05-31 19:59:00.000 -0400,"5",2025-04-30 10:50:45.000 -0400,2025-05-29 10:40:10.570 -0400
"114388","311","36317","8830","2214",2232.00,"167",2025-05-31 20:00:00.000 -0400,2025-06-30 19:59:00.000 -0400,"5",2025-05-29 07:40:10.000 -0400,2025-06-27 10:18:54.000 -0400
"216222","7","36506","12572","7689",3790.00,"167",2026-01-04 19:59:00.000 -0400,2026-02-04 19:59:00.000 -0400,"5",2025-12-29 06:43:21.000 -0400,2026-01-28 10:02:37.370 -0400
"239173","8","36506","12572","7689",3790.00,"167",2026-02-04 19:59:00.000 -0400,2026-03-04 19:59:00.000 -0400,"5",2026-01-28 07:02:37.000 -0400,2026-02-27 15:51:59.737 -0400
"595016","155","36316","10066","2209",1992.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-29 08:50:34.000 -0400,2026-07-17 05:02:17.963 -0400
"527302","147","36316","27933","2209",2152.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-04-20 06:47:12.000 -0400,2026-04-30 08:00:02.617 -0400
"531865","150","36316","27933","2209",2152.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:00:02.000 -0400,2026-05-30 08:00:04.380 -0400
"579121","153","36316","27933","2209",2152.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:00:04.000 -0400,2026-06-29 11:50:35.920 -0400
"595017","156","36316","27933","2209",2152.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-29 08:50:35.000 -0400,2026-07-17 05:04:29.810 -0400
"105812","300","36317","10030","2214",1992.00,"167",2025-03-31 20:00:00.000 -0400,2025-04-30 19:59:00.000 -0400,"5",2025-04-30 10:00:12.000 -0400,2025-04-30 13:50:45.863 -0400
"105840","307","36317","10030","2214",1992.00,"167",2025-04-30 20:00:00.000 -0400,2025-05-31 19:59:00.000 -0400,"5",2025-04-30 10:50:45.000 -0400,2025-05-29 07:40:11.000 -0400
"114390","313","36317","10030","2214",1992.00,"167",2025-05-31 20:00:00.000 -0400,2025-06-30 19:59:00.000 -0400,"5",2025-05-29 07:40:11.000 -0400,2025-06-27 13:18:54.963 -0400
"122154","319","36317","10030","2214",1992.00,"167",2025-06-30 20:00:00.000 -0400,2025-07-31 19:59:00.000 -0400,"5",2025-06-27 10:18:54.000 -0400,2025-07-28 11:23:16.883 -0400
"133176","326","36317","10030","2214",1992.00,"167",2025-07-31 20:00:00.000 -0400,2025-08-31 19:59:00.000 -0400,"5",2025-07-28 08:23:16.000 -0400,2025-08-27 17:39:32.390 -0400
"148998","333","36317","10030","2214",1992.00,"167",2025-08-31 20:00:00.000 -0400,2025-09-30 19:59:00.000 -0400,"5",2025-08-27 14:39:32.000 -0400,2025-09-29 09:24:06.540 -0400
"160441","340","36317","10030","2214",1992.00,"167",2025-09-30 20:00:00.000 -0400,2025-10-31 19:59:00.000 -0400,"5",2025-09-29 06:24:06.000 -0400,2025-10-28 11:27:51.357 -0400
"174518","347","36317","10030","2214",1992.00,"167",2025-10-31 20:00:00.000 -0400,2025-11-30 19:59:00.000 -0400,"5",2025-10-28 08:27:51.000 -0400,2025-11-28 12:05:47.800 -0400
"186842","354","36317","10030","2214",1992.00,"167",2025-11-30 20:00:00.000 -0400,2025-12-31 19:59:00.000 -0400,"5",2025-11-28 09:05:47.000 -0400,2025-12-26 08:29:08.340 -0400
"215614","361","36317","10030","2214",1992.00,"167",2025-12-31 20:00:00.000 -0400,2026-01-31 19:59:00.000 -0400,"5",2025-12-26 05:29:08.000 -0400,2026-01-26 06:44:42.000 -0400
"238050","368","36317","10030","2214",1992.00,"167",2026-01-31 20:00:00.000 -0400,2026-02-28 19:59:00.000 -0400,"5",2026-01-26 06:44:42.000 -0400,2026-02-27 07:55:04.000 -0400
"267914","375","36317","10030","2214",1992.00,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-02-27 07:55:04.000 -0400,2026-03-30 08:00:55.320 -0400
"338540","382","36317","10030","2214",1992.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:00:55.000 -0400,2026-04-30 05:01:10.000 -0400
"531899","389","36317","10030","2214",1992.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:01:10.000 -0400,2026-05-30 08:01:11.783 -0400
"579155","398","36317","10030","2214",1992.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:11.000 -0400,2026-06-30 06:55:54.000 -0400
"595530","405","36317","10030","2214",1992.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:53.000 -0400,2026-07-17 05:02:13.863 -0400
"105810","299","36317","10029","2214",1992.00,"167",2025-03-31 20:00:00.000 -0400,2025-04-30 19:59:00.000 -0400,"5",2025-04-30 09:57:17.000 -0400,2025-04-30 13:50:45.650 -0400
"105839","306","36317","10029","2214",1992.00,"167",2025-04-30 20:00:00.000 -0400,2025-05-14 12:12:00.000 -0400,"5",2025-04-30 10:50:45.000 -0400,2025-05-29 07:40:10.000 -0400
"112316","197","36366","10029","2213",2152.00,"167",2025-04-30 20:00:00.000 -0400,2025-05-31 19:59:00.000 -0400,"5",2025-05-19 11:48:43.000 -0400,2025-05-29 10:45:29.670 -0400
"114397","201","36366","10029","2213",2152.00,"167",2025-05-31 20:00:00.000 -0400,2025-06-30 19:59:00.000 -0400,"5",2025-05-29 07:45:29.000 -0400,2025-06-27 10:34:04.747 -0400
"122066","205","36366","10029","2213",2152.00,"167",2025-06-30 20:00:00.000 -0400,2025-07-31 19:59:00.000 -0400,"5",2025-06-27 07:34:04.000 -0400,2025-07-28 08:26:48.000 -0400
"133182","209","36366","10029","2213",2152.00,"167",2025-07-31 20:00:00.000 -0400,2025-08-31 19:59:00.000 -0400,"5",2025-07-28 08:26:48.000 -0400,2025-08-27 17:42:58.353 -0400
"149002","213","36366","10029","2213",2152.00,"167",2025-08-31 20:00:00.000 -0400,2025-09-30 19:59:00.000 -0400,"5",2025-08-27 14:42:58.000 -0400,2025-09-29 09:25:40.937 -0400
"160445","217","36366","10029","2213",2152.00,"167",2025-09-30 20:00:00.000 -0400,2025-10-31 19:59:00.000 -0400,"5",2025-09-29 06:25:40.000 -0400,2025-10-28 16:15:22.980 -0400
"174825","221","36366","10029","2213",2152.00,"167",2025-10-31 20:00:00.000 -0400,2025-11-30 19:59:00.000 -0400,"5",2025-10-28 13:15:22.000 -0400,2025-11-28 09:16:16.000 -0400
"186848","225","36366","10029","2213",2152.00,"167",2025-11-30 20:00:00.000 -0400,2025-12-31 19:59:00.000 -0400,"5",2025-11-28 09:16:16.000 -0400,2025-12-26 08:30:42.730 -0400
"579158","401","36317","27702","2214",1992.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:01:12.000 -0400,2026-06-30 06:55:58.000 -0400
"595538","408","36317","27702","2214",1992.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-30 06:55:57.000 -0400,2026-07-17 05:04:04.180 -0400
"294486","378","36317","27461","2214",1992.00,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-03-20 11:15:43.000 -0400,2026-03-30 05:00:57.000 -0400
"268500","9","36506","12572","7689",3790.00,"167",2026-03-04 19:59:00.000 -0400,2026-03-16 04:48:00.000 -0400,"5",2026-02-27 12:51:59.000 -0400,2026-03-16 06:43:16.000 -0400
"294559","14","49752","12572","4328",3877.20,"167",2026-03-22 19:59:00.000 -0400,2026-04-22 19:59:00.000 -0400,"5",2026-03-20 13:59:43.000 -0400,2026-04-22 08:00:32.743 -0400
"527981","15","49752","12572","4328",3877.20,"167",2026-04-22 19:59:00.000 -0400,2026-05-22 19:59:00.000 -0400,"5",2026-04-22 05:00:32.000 -0400,2026-05-22 08:00:07.260 -0400
"575049","16","49752","12572","4328",3877.20,"167",2026-05-22 19:59:00.000 -0400,2026-06-22 19:59:00.000 -0400,"5",2026-05-22 05:00:07.000 -0400,2026-06-22 08:43:37.000 -0400
"591369","17","49752","12572","4328",3877.20,"167",2026-06-22 19:59:00.000 -0400,2026-07-22 19:59:00.000 -0400,"1",2026-06-22 08:43:36.000 -0400,2026-07-17 05:02:52.477 -0400
"98484","1","36345","8750","4010",3321.00,"167",2025-03-19 12:05:00.000 -0400,2025-03-31 19:59:00.000 -0400,"5",2025-04-01 09:01:25.000 -0400,2025-04-01 12:08:19.827 -0400
"606418","2","36555","6141","24150",2990.00,"167",2026-07-16 05:00:00.000 -0400,2026-08-16 05:00:00.000 -0400,"1",2026-07-16 06:45:14.000 -0400,2026-07-17 05:01:01.267 -0400
"105882","1","54223","10026","4799",3790.00,"167",2025-04-30 10:24:00.000 -0400,2025-05-15 05:45:00.000 -0400,"3",2025-04-30 11:38:09.000 -0400,2025-05-15 10:54:30.553 -0400
"123197","1","36441","10026","7887",3109.60,"167",2025-06-30 20:00:00.000 -0400,2025-07-31 19:59:00.000 -0400,"5",2025-06-30 14:11:09.000 -0400,2025-07-28 14:53:06.637 -0400
"133291","5","36441","10026","7887",3109.60,"167",2025-07-31 20:00:00.000 -0400,2025-08-31 19:59:00.000 -0400,"5",2025-07-28 11:53:06.000 -0400,2025-08-27 17:13:59.647 -0400
"148959","9","36441","10026","7887",3109.60,"167",2025-08-31 20:00:00.000 -0400,2025-09-30 19:59:00.000 -0400,"5",2025-08-27 14:13:59.000 -0400,2025-09-27 11:09:27.910 -0400
"160223","13","36441","10026","7887",3109.60,"167",2025-09-30 20:00:00.000 -0400,2025-10-31 19:59:00.000 -0400,"5",2025-09-27 08:09:27.000 -0400,2025-10-28 13:23:22.587 -0400
"174593","17","36441","10026","7887",3109.60,"167",2025-10-31 20:00:00.000 -0400,2025-11-30 19:59:00.000 -0400,"5",2025-10-28 10:23:22.000 -0400,2025-11-28 11:01:33.740 -0400
"186768","21","36441","10026","7887",3109.60,"167",2025-11-30 20:00:00.000 -0400,2025-12-31 19:59:00.000 -0400,"5",2025-11-28 08:01:33.000 -0400,2025-12-26 08:50:46.243 -0400
"215657","25","36441","10026","7887",3109.60,"167",2025-12-31 20:00:00.000 -0400,2026-01-31 19:59:00.000 -0400,"5",2025-12-26 05:50:46.000 -0400,2026-01-28 08:25:48.410 -0400
"239034","29","36441","10026","7887",3109.60,"167",2026-01-31 20:00:00.000 -0400,2026-02-28 19:59:00.000 -0400,"5",2026-01-28 05:25:48.000 -0400,2026-02-27 08:04:44.000 -0400
"267949","32","36441","10026","7887",3109.60,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-02-27 08:04:44.000 -0400,2026-03-30 08:01:59.980 -0400
"338574","36","36441","10026","7887",3109.60,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:01:59.000 -0400,2026-04-30 05:00:38.000 -0400
"531893","40","36441","10026","7887",3109.60,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:00:38.000 -0400,2026-05-30 08:00:48.437 -0400
"579149","43","36441","10026","7887",3109.60,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:00:48.000 -0400,2026-06-30 11:14:55.000 -0400
"597311","46","36441","10026","7887",3109.60,"167",2026-06-30 20:00:00.000 -0400,2026-07-01 05:14:00.000 -0400,"3",2026-06-30 11:14:54.000 -0400,2026-07-01 06:34:32.000 -0400
"606217","15","36474","10026","8118",4090.00,"167",2026-07-06 19:59:00.000 -0400,2026-08-06 19:59:00.000 -0400,"1",2026-07-15 14:01:32.000 -0400,2026-07-15 14:01:33.000 -0400
"606349","25","36566","5949","2375",3690.00,"167",2026-07-16 19:59:00.000 -0400,2026-08-16 19:59:00.000 -0400,"1",2026-07-16 06:25:34.000 -0400,2026-07-17 05:00:45.870 -0400
"267871","141","36316","5858","2209",2152.00,"167",2026-02-28 20:00:00.000 -0400,2026-03-31 19:59:00.000 -0400,"5",2026-02-27 07:31:08.000 -0400,2026-03-30 08:00:02.317 -0400
"338515","144","36316","5858","2209",2152.00,"167",2026-03-31 20:00:00.000 -0400,2026-04-30 19:59:00.000 -0400,"5",2026-03-30 05:00:02.000 -0400,2026-04-30 08:00:01.770 -0400
"531863","148","36316","5858","2209",2152.00,"167",2026-04-30 20:00:00.000 -0400,2026-05-31 19:59:00.000 -0400,"5",2026-04-30 05:00:01.000 -0400,2026-05-30 05:00:03.000 -0400
"579119","151","36316","5858","2209",2152.00,"167",2026-05-31 20:00:00.000 -0400,2026-06-30 19:59:00.000 -0400,"5",2026-05-30 05:00:02.000 -0400,2026-06-29 08:50:33.000 -0400
"595015","154","36316","5858","2209",2152.00,"167",2026-06-30 20:00:00.000 -0400,2026-07-31 19:59:00.000 -0400,"1",2026-06-29 08:50:32.000 -0400,2026-07-17 05:00:33.377 -0400
"112367","113","36316","10066","2209",1992.00,"167",2025-04-30 20:00:00.000 -0400,2025-05-31 19:59:00.000 -0400,"5",2025-05-19 13:44:50.000 -0400,2025-05-29 10:28:24.797 -0400
"114359","116","36316","10066","2209",1992.00,"167",2025-05-31 20:00:00.000 -0400,2025-06-30 19:59:00.000 -0400,"5",2025-05-29 07:28:24.000 -0400,2025-06-27 10:21:36.333 -0400
"122050","119","36316","10066","2209",1992.00,"167",2025-06-30 20:00:00.000 -0400,2025-07-31 19:59:00.000 -0400,"5",2025-06-27 07:21:36.000 -0400,2025-07-28 11:18:13.527 -0400
"133148","122","36316","10066","2209",1992.00,"167",2025-07-31 20:00:00.000 -0400,2025-08-31 19:59:00.000 -0400,"5",2025-07-28 08:18:13.000 -0400,2025-08-27 14:23:48.000 -0400
"148968","125","36316","10066","2209",1992.00,"167",2025-08-31 20:00:00.000 -0400,2025-09-30 19:59:00.000 -0400,"5",2025-08-27 14:23:48.000 -0400,2025-09-29 09:15:56.313 -0400
"160404","128","36316","10066","2209",1992.00,"167",2025-09-30 20:00:00.000 -0400,2025-10-31 19:59:00.000 -0400,"5",2025-09-29 06:15:56.000 -0400,2025-10-28 11:16:44.807 -0400
"174484","131","36316","10066","2209",1992.00,"167",2025-10-31 20:00:00.000 -0400,2025-11-30 19:59:00.000 -0400,"5",2025-10-28 08:16:44.000 -0400,2025-11-28 11:48:20.983 -0400
